country_id,country_name,confederation
1,Algeria,CAF
2,Angola,CAF
3,Argentina,CONMEBOL
4,Australia,AFC
5,Austria,UEFA
6,Belgium,UEFA
7,Bosnia and Herzegovina,UEFA
8,Brazil,CONMEBOL
9,Bulgaria,UEFA
10,Cameroon,CAF
11,Chile,CONMEBOL
12,China,AFC
13,Colombia,CONMEBOL
14,Costa Rica,CONCACAF
15,Croatia,UEFA
16,Czech Republic,UEFA
17,Denmark,UEFA
18,Ecuador,CONMEBOL
19,Egypt,CAF
20,England,UEFA
21,France,UEFA
22,Germany,UEFA
23,Ghana,CAF
24,Greece,UEFA
25,Honduras,CONCACAF
26,Iceland,UEFA
27,Iran,AFC
28,Italy,UEFA
29,Ivory Coast,CAF
30,Jamaica,CONCACAF
31,Japan,AFC
32,Mexico,CONCACAF
33,Morocco,CAF
34,Netherlands,UEFA
35,New Zealand,OFC
36,Nigeria,CAF
37,North Korea,AFC
38,Norway,UEFA
39,Panama,CONCACAF
40,Paraguay,CONMEBOL
41,Peru,CONMEBOL
42,Poland,UEFA
43,Portugal,UEFA
44,Republic of Ireland,UEFA
45,Romania,UEFA
46,Russia,UEFA
47,Saudi Arabia,AFC
48,Scotland,UEFA
49,Senegal,CAF
50,Serbia,UEFA
51,Slovakia,UEFA
52,Slovenia,UEFA
53,South Africa,CAF
54,South Korea,AFC
55,Spain,UEFA
56,Sweden,UEFA
57,Switzerland,UEFA
58,Togo,CAF
59,Trinidad and Tobago,CONCACAF
60,Tunisia,CAF
61,Turkey,UEFA
62,Ukraine,UEFA
63,United States,CONCACAF
64,Uruguay,CONMEBOL
