country_name,country_code,year,population,gdp_per_capita_usd,review_reason
Afghanistan,AFG,1998,19159996.0,,MISSING_GDP
American Samoa,ASM,1998,55334.0,,MISSING_GDP
Curacao,CUW,1998,144472.0,,MISSING_GDP
Cayman Islands,CYM,1998,36922.0,,MISSING_GDP
Gibraltar,GIB,1998,27650.0,,MISSING_GDP
Guam,GUM,1998,156237.0,,MISSING_GDP
Not Classified,INX,1998,,,MISSING_POPULATION
St. Martin (French Part),MAF,1998,29107.0,,MISSING_GDP
Northern Mariana Islands,MNP,1998,61337.0,,MISSING_GDP
North Korea,PRK,1998,23311564.0,,MISSING_GDP
South Sudan,SSD,1998,5620068.0,,MISSING_GDP
Sint Maarten (Dutch Part),SXM,1998,31193.0,,MISSING_GDP
Turks And Caicos Islands,TCA,1998,17212.0,,MISSING_GDP
British Virgin Islands,VGB,1998,19238.0,,MISSING_GDP
Virgin Islands (U.S.),VIR,1998,108537.0,,MISSING_GDP
Kosovo,XKX,1998,2078964.0,,MISSING_GDP
Afghanistan,AFG,1999,19887785.0,,MISSING_GDP
American Samoa,ASM,1999,56248.0,,MISSING_GDP
Curacao,CUW,1999,139428.0,,MISSING_GDP
Cayman Islands,CYM,1999,38284.0,,MISSING_GDP
Gibraltar,GIB,1999,27692.0,,MISSING_GDP
Guam,GUM,1999,158289.0,,MISSING_GDP
Not Classified,INX,1999,,,MISSING_POPULATION
St. Martin (French Part),MAF,1999,29284.0,,MISSING_GDP
Northern Mariana Islands,MNP,1999,65916.0,,MISSING_GDP
North Korea,PRK,1999,23497599.0,,MISSING_GDP
South Sudan,SSD,1999,5771628.0,,MISSING_GDP
Sint Maarten (Dutch Part),SXM,1999,30977.0,,MISSING_GDP
Turks And Caicos Islands,TCA,1999,17959.0,,MISSING_GDP
British Virgin Islands,VGB,1999,19730.0,,MISSING_GDP
Virgin Islands (U.S.),VIR,1999,108599.0,,MISSING_GDP
Kosovo,XKX,1999,1871524.0,,MISSING_GDP
American Samoa,ASM,2000,56855.0,,MISSING_GDP
Cayman Islands,CYM,2000,39674.0,,MISSING_GDP
Gibraltar,GIB,2000,27709.0,,MISSING_GDP
Guam,GUM,2000,160065.0,,MISSING_GDP
Not Classified,INX,2000,,,MISSING_POPULATION
St. Martin (French Part),MAF,2000,29996.0,,MISSING_GDP
Northern Mariana Islands,MNP,2000,68356.0,,MISSING_GDP
North Korea,PRK,2000,23665910.0,,MISSING_GDP
South Sudan,SSD,2000,6032267.0,,MISSING_GDP
Sint Maarten (Dutch Part),SXM,2000,30773.0,,MISSING_GDP
Turks And Caicos Islands,TCA,2000,18730.0,,MISSING_GDP
British Virgin Islands,VGB,2000,20241.0,,MISSING_GDP
Virgin Islands (U.S.),VIR,2000,108642.0,,MISSING_GDP
Kosovo,XKX,2000,1802493.0,,MISSING_GDP
American Samoa,ASM,2001,57053.0,,MISSING_GDP
Cayman Islands,CYM,2001,41089.0,,MISSING_GDP
Gibraltar,GIB,2001,27657.0,,MISSING_GDP
Guam,GUM,2001,161329.0,,MISSING_GDP
Not Classified,INX,2001,,,MISSING_POPULATION
St. Martin (French Part),MAF,2001,30803.0,,MISSING_GDP
Northern Mariana Islands,MNP,2001,67984.0,,MISSING_GDP
North Korea,PRK,2001,23815358.0,,MISSING_GDP
South Sudan,SSD,2001,6308391.0,,MISSING_GDP
Sint Maarten (Dutch Part),SXM,2001,30726.0,,MISSING_GDP
British Virgin Islands,VGB,2001,20796.0,,MISSING_GDP
Virgin Islands (U.S.),VIR,2001,108549.0,,MISSING_GDP
